dataset,metric,model_a,model_b,n,mean_delta,median_delta,ci_lo,ci_hi,d_z,wins_a,losses_a,ties,p_wilcoxon_raw,p_wilcoxon_holm
chexpert_plus_valid,crimson,qwen35-9b,qwen35-122b-a10b,200,-0.027969,0.0,-0.080685,0.022908,-0.07122,65,83,52,0.228152,1.0
chexpert_plus_valid,crimson,qwen35-9b,qwen35-397b-a17b,200,0.008221,0.0,-0.045541,0.059244,0.020627,74,80,46,0.965465,1.0
chexpert_plus_valid,crimson,qwen35-27b,qwen35-35b-a3b,200,0.013457,0.0,-0.0396,0.06234,0.036748,71,70,59,0.577009,1.0
chexpert_plus_valid,crimson,qwen35-27b,qwen35-122b-a10b,200,-0.003091,0.0,-0.059976,0.052958,-0.007585,70,79,51,0.725885,1.0
chexpert_plus_valid,crimson,qwen35-27b,qwen35-397b-a17b,200,0.0331,0.0,-0.025051,0.092295,0.078008,77,75,48,0.576636,1.0
chexpert_plus_valid,crimson,qwen35-35b-a3b,qwen35-122b-a10b,200,-0.016547,0.0,-0.065955,0.034302,-0.048212,67,78,55,0.38295,1.0
chexpert_plus_valid,crimson,qwen35-35b-a3b,qwen35-397b-a17b,200,0.019643,0.0,-0.025746,0.070207,0.056198,72,74,54,0.69094,1.0
chexpert_plus_valid,crimson,qwen35-122b-a10b,qwen35-397b-a17b,200,0.03619,0.0,-0.01098,0.080031,0.104654,80,66,54,0.211486,1.0
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-2b,200,1.06,0.0,0.33475,1.785125,0.212722,99,73,28,0.001029,0.020583
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-4b,200,1.43,1.0,0.75,2.1555,0.27759,110,63,27,0.000125,0.002749
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-9b,200,1.545,1.0,0.939875,2.275,0.323622,110,63,27,7e-06,0.000177
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-27b,200,1.94,1.0,1.289875,2.64025,0.38667,119,60,21,0.0,5e-06
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-35b-a3b,200,2.28,2.0,1.64475,2.98025,0.486302,129,53,18,0.0,0.0
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-122b-a10b,200,2.215,2.0,1.564875,2.820125,0.461821,122,55,23,0.0,0.0
chexpert_plus_valid,discern_score,qwen35-0_8b,qwen35-397b-a17b,200,2.005,1.0,1.374625,2.63,0.410172,122,53,25,0.0,2e-06
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-4b,200,0.37,0.0,-0.290125,1.07525,0.075935,90,87,23,0.567245,1.0
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-9b,200,0.485,0.0,-0.115,1.065,0.115681,89,78,33,0.246495,1.0
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-27b,200,0.88,0.0,0.259875,1.51,0.194943,92,65,43,0.012118,0.169645
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-35b-a3b,200,1.22,1.0,0.635,1.885,0.278225,109,66,25,0.000107,0.00246
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-122b-a10b,200,1.155,1.0,0.575,1.705,0.275242,103,58,39,0.00034,0.007135
chexpert_plus_valid,discern_score,qwen35-2b,qwen35-397b-a17b,200,0.945,0.0,0.3845,1.505,0.233394,99,67,34,0.001666,0.031652
chexpert_plus_valid,discern_score,qwen35-4b,qwen35-9b,200,0.115,0.0,-0.54,0.765,0.025554,86,84,30,0.877809,1.0
chexpert_plus_valid,discern_score,qwen35-4b,qwen35-27b,200,0.51,0.0,-0.135125,1.165,0.11054,89,81,30,0.262209,1.0
chexpert_plus_valid,discern_score,qwen35-4b,qwen35-35b-a3b,200,0.85,1.0,0.284875,1.43,0.205594,106,67,27,0.003172,0.057092
chexpert_plus_valid,discern_score,qwen35-4b,qwen35-122b-a10b,200,0.785,0.5,0.124875,1.43525,0.163349,100,64,36,0.008809,0.140938
chexpert_plus_valid,discern_score,qwen35-4b,qwen35-397b-a17b,200,0.575,1.0,-0.015125,1.13,0.141526,104,72,24,0.020681,0.268854
chexpert_plus_valid,discern_score,qwen35-9b,qwen35-27b,200,0.395,0.0,-0.145,0.950125,0.099633,94,74,32,0.096672,1.0
chexpert_plus_valid,discern_score,qwen35-9b,qwen35-35b-a3b,200,0.735,0.0,0.265,1.240375,0.207495,97,74,29,0.006119,0.104026
chexpert_plus_valid,discern_score,qwen35-9b,qwen35-122b-a10b,200,0.67,0.0,0.16,1.180125,0.176112,99,61,40,0.011165,0.167481
chexpert_plus_valid,discern_score,qwen35-9b,qwen35-397b-a17b,200,0.46,0.0,-0.085125,0.985125,0.118997,97,74,29,0.087734,1.0
chexpert_plus_valid,discern_score,qwen35-27b,qwen35-35b-a3b,200,0.34,0.0,-0.140125,0.84,0.094156,86,80,34,0.163017,1.0
chexpert_plus_valid,discern_score,qwen35-27b,qwen35-122b-a10b,200,0.275,0.0,-0.275,0.805,0.070085,96,70,34,0.126713,1.0
chexpert_plus_valid,discern_score,qwen35-27b,qwen35-397b-a17b,200,0.065,0.0,-0.555125,0.57,0.01674,89,79,32,0.50806,1.0
chexpert_plus_valid,discern_score,qwen35-35b-a3b,qwen35-122b-a10b,200,-0.065,0.0,-0.615125,0.415,-0.017212,83,79,38,0.857242,1.0
chexpert_plus_valid,discern_score,qwen35-35b-a3b,qwen35-397b-a17b,200,-0.275,0.0,-0.780125,0.180125,-0.077097,79,86,35,0.289667,1.0
chexpert_plus_valid,discern_score,qwen35-122b-a10b,qwen35-397b-a17b,200,-0.21,0.0,-0.695,0.26,-0.061594,70,96,34,0.140139,1.0
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-2b,200,0.65,0.5,0.22,1.045125,0.215675,100,52,48,0.000909,0.020915
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-4b,200,0.82,0.5,0.444875,1.22,0.292542,100,48,52,2.3e-05,0.000586
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-9b,200,0.67,0.0,0.275,1.065125,0.232243,98,53,49,0.001364,0.030016
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-27b,200,1.05,0.5,0.694875,1.405125,0.390672,100,45,55,0.0,6e-06
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-35b-a3b,200,1.065,1.0,0.695,1.435,0.391295,103,42,55,0.0,5e-06
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-122b-a10b,200,0.78,0.0,0.415,1.12,0.297677,95,55,50,5e-05,0.001262
chexpert_plus_valid,mini_discern_score,qwen35-0_8b,qwen35-397b-a17b,200,0.76,0.0,0.4,1.1,0.280538,98,49,53,0.000221,0.005314
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-4b,200,0.17,0.0,-0.23,0.600125,0.059615,71,68,61,0.437154,1.0
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-9b,200,0.02,0.0,-0.4,0.44,0.006795,69,73,58,0.807192,1.0
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-27b,200,0.4,0.0,-0.000125,0.835,0.132926,76,57,67,0.039957,0.717337
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-35b-a3b,200,0.415,0.0,0.054625,0.82,0.149935,76,57,67,0.017753,0.372805
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-122b-a10b,200,0.13,0.0,-0.255,0.50525,0.045838,70,68,62,0.453838,1.0
chexpert_plus_valid,mini_discern_score,qwen35-2b,qwen35-397b-a17b,200,0.11,0.0,-0.215,0.46525,0.043482,68,67,65,0.628082,1.0
chexpert_plus_valid,mini_discern_score,qwen35-4b,qwen35-9b,200,-0.15,0.0,-0.525,0.21,-0.056402,57,73,70,0.315855,1.0
chexpert_plus_valid,mini_discern_score,qwen35-4b,qwen35-27b,200,0.23,0.0,-0.165375,0.620125,0.082427,75,64,61,0.31468,1.0
chexpert_plus_valid,mini_discern_score,qwen35-4b,qwen35-35b-a3b,200,0.245,0.0,-0.075,0.605,0.099481,66,58,76,0.213037,1.0
chexpert_plus_valid,mini_discern_score,qwen35-4b,qwen35-122b-a10b,200,-0.04,0.0,-0.42,0.320125,-0.01482,59,70,71,0.907656,1.0
chexpert_plus_valid,mini_discern_score,qwen35-4b,qwen35-397b-a17b,200,-0.06,0.0,-0.390125,0.275,-0.025345,64,68,68,0.39846,1.0
chexpert_plus_valid,mini_discern_score,qwen35-9b,qwen35-27b,200,0.38,0.0,0.01,0.785125,0.139856,75,61,64,0.030167,0.603342
chexpert_plus_valid,mini_discern_score,qwen35-9b,qwen35-35b-a3b,200,0.395,0.0,0.039875,0.76525,0.148089,68,53,79,0.03545,0.673556
chexpert_plus_valid,mini_discern_score,qwen35-9b,qwen35-122b-a10b,200,0.11,0.0,-0.230125,0.445125,0.044217,72,55,73,0.505761,1.0
chexpert_plus_valid,mini_discern_score,qwen35-9b,qwen35-397b-a17b,200,0.09,0.0,-0.25,0.445125,0.035621,63,66,71,0.953677,1.0
chexpert_plus_valid,mini_discern_score,qwen35-27b,qwen35-35b-a3b,200,0.015,0.0,-0.285,0.325,0.006855,51,54,95,0.960052,1.0
chexpert_plus_valid,mini_discern_score,qwen35-27b,qwen35-122b-a10b,200,-0.27,0.0,-0.600125,0.05,-0.114558,60,69,71,0.146624,1.0
chexpert_plus_valid,mini_discern_score,qwen35-27b,qwen35-397b-a17b,200,-0.29,0.0,-0.645125,0.04,-0.117549,60,72,68,0.112481,1.0
chexpert_plus_valid,mini_discern_score,qwen35-35b-a3b,qwen35-122b-a10b,200,-0.285,0.0,-0.62,0.025,-0.12671,59,68,73,0.16042,1.0
chexpert_plus_valid,mini_discern_score,qwen35-35b-a3b,qwen35-397b-a17b,200,-0.305,0.0,-0.625,0.005125,-0.132377,56,79,65,0.039852,0.717337
chexpert_plus_valid,mini_discern_score,qwen35-122b-a10b,qwen35-397b-a17b,200,-0.02,0.0,-0.32,0.280125,-0.008976,60,66,74,0.709105,1.0
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-2b,3031,-0.006381,-0.003199,-0.008713,-0.003998,-0.099183,1443,1581,7,6.7e-05,0.000534
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-4b,3031,-0.006227,-0.003235,-0.008467,-0.004155,-0.103357,1424,1602,5,1.4e-05,0.000126
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-9b,3031,0.001544,0.00308,-0.000619,0.003599,0.025658,1594,1428,9,0.018462,0.073846
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-27b,3031,-0.00596,-0.000604,-0.008268,-0.003671,-0.093378,1496,1528,7,0.001579,0.009671
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-35b-a3b,3031,-0.018566,-0.015224,-0.020996,-0.016222,-0.274265,1181,1840,10,0.0,0.0
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-122b-a10b,3031,-0.013996,-0.007032,-0.016437,-0.011493,-0.202227,1322,1696,13,0.0,0.0
mimic_cxr_test,bleu,qwen35-0_8b,qwen35-397b-a17b,3031,-0.017266,-0.010548,-0.01989,-0.014808,-0.239853,1271,1747,13,0.0,0.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-4b,3031,0.000155,0.0,-0.002042,0.002297,0.002596,1509,1511,11,0.890045,1.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-9b,3031,0.007926,0.004566,0.00568,0.010095,0.126558,1616,1407,8,0.0,0.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-27b,3031,0.000421,0.000237,-0.001884,0.002641,0.00674,1519,1503,9,0.639545,1.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-35b-a3b,3031,-0.012184,-0.013004,-0.014894,-0.009581,-0.180182,1227,1798,6,0.0,0.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-122b-a10b,3031,-0.007615,-0.005224,-0.010058,-0.005129,-0.116023,1397,1622,12,0.0,0.0
mimic_cxr_test,bleu,qwen35-2b,qwen35-397b-a17b,3031,-0.010884,-0.008477,-0.013481,-0.008469,-0.166574,1304,1718,9,0.0,0.0
mimic_cxr_test,bleu,qwen35-4b,qwen35-9b,3031,0.007771,0.006079,0.005919,0.009613,0.149036,1682,1343,6,0.0,0.0
mimic_cxr_test,bleu,qwen35-4b,qwen35-27b,3031,0.000267,0.001966,-0.001626,0.002008,0.005177,1565,1453,13,0.184183,0.552548
mimic_cxr_test,bleu,qwen35-4b,qwen35-35b-a3b,3031,-0.012339,-0.011644,-0.014659,-0.010057,-0.194672,1214,1812,5,0.0,0.0
mimic_cxr_test,bleu,qwen35-4b,qwen35-122b-a10b,3031,-0.007769,-0.005337,-0.009814,-0.00551,-0.131677,1382,1637,12,0.0,0.0
mimic_cxr_test,bleu,qwen35-4b,qwen35-397b-a17b,3031,-0.011039,-0.007905,-0.01327,-0.008723,-0.172831,1313,1711,7,0.0,0.0
mimic_cxr_test,bleu,qwen35-9b,qwen35-27b,3031,-0.007505,-0.003763,-0.009398,-0.005637,-0.140783,1407,1615,9,0.0,0.0
mimic_cxr_test,bleu,qwen35-9b,qwen35-35b-a3b,3031,-0.02011,-0.017544,-0.022477,-0.017692,-0.313876,1071,1952,8,0.0,0.0
mimic_cxr_test,bleu,qwen35-9b,qwen35-122b-a10b,3031,-0.01554,-0.010151,-0.017737,-0.013403,-0.256944,1222,1804,5,0.0,0.0
mimic_cxr_test,bleu,qwen35-9b,qwen35-397b-a17b,3031,-0.01881,-0.013108,-0.021019,-0.016597,-0.288676,1179,1840,12,0.0,0.0
mimic_cxr_test,bleu,qwen35-27b,qwen35-35b-a3b,3031,-0.012605,-0.013267,-0.01481,-0.010246,-0.198193,1165,1861,5,0.0,0.0
mimic_cxr_test,bleu,qwen35-27b,qwen35-122b-a10b,3031,-0.008036,-0.006757,-0.010069,-0.005911,-0.140245,1326,1692,13,0.0,0.0
mimic_cxr_test,bleu,qwen35-27b,qwen35-397b-a17b,3031,-0.011305,-0.008489,-0.0135,-0.0092,-0.184835,1290,1732,9,0.0,0.0
mimic_cxr_test,bleu,qwen35-35b-a3b,qwen35-122b-a10b,3031,0.00457,0.005795,0.00232,0.007006,0.070508,1674,1346,11,0.0,0.0
mimic_cxr_test,bleu,qwen35-35b-a3b,qwen35-397b-a17b,3031,0.0013,0.004124,-0.001049,0.003802,0.019466,1623,1402,6,0.001382,0.009671
mimic_cxr_test,bleu,qwen35-122b-a10b,qwen35-397b-a17b,3031,-0.00327,-0.001621,-0.005688,-0.000912,-0.051255,1470,1546,15,0.010653,0.053265
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-2b,3031,-0.004068,-0.002899,-0.006227,-0.001856,-0.066807,1463,1559,9,0.002755,0.008264
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-4b,3031,-0.007643,-0.006778,-0.00977,-0.005601,-0.128431,1374,1653,4,0.0,0.0
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-9b,3031,0.003188,0.004231,0.000965,0.005164,0.054448,1597,1426,8,0.000501,0.002005
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-27b,3031,-0.010435,-0.008613,-0.012649,-0.008307,-0.170512,1330,1697,4,0.0,0.0
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-35b-a3b,3031,-0.022855,-0.019695,-0.025014,-0.020686,-0.347957,1126,1900,5,0.0,0.0
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-122b-a10b,3031,-0.01773,-0.013315,-0.020323,-0.015406,-0.268513,1227,1796,8,0.0,0.0
mimic_cxr_test,rouge,qwen35-0_8b,qwen35-397b-a17b,3031,-0.017958,-0.014147,-0.020453,-0.015678,-0.266224,1223,1801,7,0.0,0.0
mimic_cxr_test,rouge,qwen35-2b,qwen35-4b,3031,-0.003575,-0.004432,-0.005712,-0.001534,-0.063553,1414,1611,6,0.000199,0.000997
mimic_cxr_test,rouge,qwen35-2b,qwen35-9b,3031,0.007256,0.006005,0.005057,0.009374,0.125118,1640,1380,11,0.0,0.0
mimic_cxr_test,rouge,qwen35-2b,qwen35-27b,3031,-0.006367,-0.008065,-0.008526,-0.004419,-0.111486,1322,1703,6,0.0,0.0
mimic_cxr_test,rouge,qwen35-2b,qwen35-35b-a3b,3031,-0.018787,-0.017079,-0.021106,-0.016539,-0.297788,1119,1906,6,0.0,0.0
mimic_cxr_test,rouge,qwen35-2b,qwen35-122b-a10b,3031,-0.013662,-0.012165,-0.016031,-0.011539,-0.222687,1230,1793,8,0.0,0.0
mimic_cxr_test,rouge,qwen35-2b,qwen35-397b-a17b,3031,-0.01389,-0.011771,-0.01611,-0.011675,-0.224822,1233,1791,7,0.0,0.0
mimic_cxr_test,rouge,qwen35-4b,qwen35-9b,3031,0.010831,0.009737,0.008904,0.012645,0.205597,1765,1257,9,0.0,0.0
mimic_cxr_test,rouge,qwen35-4b,qwen35-27b,3031,-0.002792,-0.002801,-0.004523,-0.001008,-0.054016,1431,1587,13,0.004138,0.008276
mimic_cxr_test,rouge,qwen35-4b,qwen35-35b-a3b,3031,-0.015212,-0.012987,-0.017355,-0.013162,-0.253367,1184,1837,10,0.0,0.0
mimic_cxr_test,rouge,qwen35-4b,qwen35-122b-a10b,3031,-0.010087,-0.008055,-0.012108,-0.007991,-0.175333,1327,1690,14,0.0,0.0
mimic_cxr_test,rouge,qwen35-4b,qwen35-397b-a17b,3031,-0.010315,-0.00689,-0.012369,-0.008114,-0.173018,1355,1665,11,0.0,0.0
mimic_cxr_test,rouge,qwen35-9b,qwen35-27b,3031,-0.013623,-0.011941,-0.01561,-0.011777,-0.251295,1209,1816,6,0.0,0.0
mimic_cxr_test,rouge,qwen35-9b,qwen35-35b-a3b,3031,-0.026043,-0.023776,-0.028011,-0.023856,-0.434866,975,2050,6,0.0,0.0
mimic_cxr_test,rouge,qwen35-9b,qwen35-122b-a10b,3031,-0.020918,-0.016712,-0.023023,-0.018862,-0.357288,1117,1908,6,0.0,0.0
mimic_cxr_test,rouge,qwen35-9b,qwen35-397b-a17b,3031,-0.021146,-0.017946,-0.023266,-0.018941,-0.345812,1120,1897,14,0.0,0.0
mimic_cxr_test,rouge,qwen35-27b,qwen35-35b-a3b,3031,-0.01242,-0.011204,-0.014341,-0.010454,-0.215214,1221,1801,9,0.0,0.0
mimic_cxr_test,rouge,qwen35-27b,qwen35-122b-a10b,3031,-0.007295,-0.006974,-0.009224,-0.005397,-0.133834,1360,1662,9,0.0,0.0
mimic_cxr_test,rouge,qwen35-27b,qwen35-397b-a17b,3031,-0.007523,-0.005652,-0.009472,-0.00536,-0.13401,1359,1664,8,0.0,0.0
mimic_cxr_test,rouge,qwen35-35b-a3b,qwen35-122b-a10b,3031,0.005125,0.006154,0.003102,0.007237,0.084161,1639,1381,11,0.0,1e-06
mimic_cxr_test,rouge,qwen35-35b-a3b,qwen35-397b-a17b,3031,0.004897,0.005269,0.002833,0.007231,0.078885,1622,1398,11,0.0,2e-06
mimic_cxr_test,rouge,qwen35-122b-a10b,qwen35-397b-a17b,3031,-0.000228,0.000752,-0.002267,0.001985,-0.003874,1529,1486,16,0.686284,0.686284
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-2b,3031,-0.012567,-0.01026,-0.015161,-0.01006,-0.17688,1325,1706,0,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-4b,3031,-0.025433,-0.022783,-0.027952,-0.02289,-0.364507,1086,1944,1,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-9b,3031,-0.014063,-0.010907,-0.016649,-0.011582,-0.194523,1328,1701,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-27b,3031,-0.034781,-0.03239,-0.037304,-0.032282,-0.489404,920,2108,3,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-35b-a3b,3031,-0.026975,-0.023935,-0.029734,-0.024314,-0.350113,1112,1918,1,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-122b-a10b,3031,-0.03123,-0.028074,-0.034018,-0.028552,-0.402233,1030,1999,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-0_8b,qwen35-397b-a17b,3031,-0.0296,-0.025879,-0.032184,-0.026973,-0.385913,1038,1993,0,0.0,0.0
mimic_cxr_test,meteor,qwen35-2b,qwen35-4b,3031,-0.012866,-0.012496,-0.015317,-0.010599,-0.189153,1274,1755,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-2b,qwen35-9b,3031,-0.001496,-0.000584,-0.004005,0.001,-0.021523,1500,1530,1,0.388503,0.777007
mimic_cxr_test,meteor,qwen35-2b,qwen35-27b,3031,-0.022214,-0.022133,-0.024881,-0.019852,-0.325697,1104,1925,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-2b,qwen35-35b-a3b,3031,-0.014408,-0.014415,-0.016993,-0.011838,-0.194478,1282,1747,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-2b,qwen35-122b-a10b,3031,-0.018663,-0.016446,-0.02137,-0.016152,-0.259087,1169,1860,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-2b,qwen35-397b-a17b,3031,-0.017033,-0.016276,-0.019561,-0.014653,-0.243219,1201,1828,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-4b,qwen35-9b,3031,0.01137,0.011521,0.009055,0.013774,0.175585,1767,1263,1,0.0,0.0
mimic_cxr_test,meteor,qwen35-4b,qwen35-27b,3031,-0.009348,-0.009502,-0.011665,-0.007037,-0.150147,1313,1714,4,0.0,0.0
mimic_cxr_test,meteor,qwen35-4b,qwen35-35b-a3b,3031,-0.001542,-0.001502,-0.004056,0.001054,-0.021827,1484,1545,2,0.515539,0.777007
mimic_cxr_test,meteor,qwen35-4b,qwen35-122b-a10b,3031,-0.005797,-0.003891,-0.008365,-0.003262,-0.085167,1432,1598,1,5e-05,0.000404
mimic_cxr_test,meteor,qwen35-4b,qwen35-397b-a17b,3031,-0.004167,-0.00381,-0.006707,-0.001719,-0.060505,1434,1597,0,0.002874,0.017246
mimic_cxr_test,meteor,qwen35-9b,qwen35-27b,3031,-0.020717,-0.020675,-0.0231,-0.018391,-0.32076,1107,1922,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-9b,qwen35-35b-a3b,3031,-0.012912,-0.012509,-0.015545,-0.010338,-0.180572,1300,1730,1,0.0,0.0
mimic_cxr_test,meteor,qwen35-9b,qwen35-122b-a10b,3031,-0.017167,-0.016126,-0.019601,-0.014779,-0.249394,1221,1809,1,0.0,0.0
mimic_cxr_test,meteor,qwen35-9b,qwen35-397b-a17b,3031,-0.015537,-0.013345,-0.017826,-0.013132,-0.230105,1229,1798,4,0.0,0.0
mimic_cxr_test,meteor,qwen35-27b,qwen35-35b-a3b,3031,0.007805,0.008783,0.005568,0.010473,0.113813,1673,1356,2,0.0,0.0
mimic_cxr_test,meteor,qwen35-27b,qwen35-122b-a10b,3031,0.003551,0.003619,0.001227,0.006065,0.053293,1593,1431,7,0.000597,0.004177
mimic_cxr_test,meteor,qwen35-27b,qwen35-397b-a17b,3031,0.00518,0.004967,0.002951,0.007432,0.080769,1637,1393,1,1e-06,5e-06
mimic_cxr_test,meteor,qwen35-35b-a3b,qwen35-122b-a10b,3031,-0.004255,-0.003265,-0.006698,-0.001781,-0.060356,1461,1567,3,0.004188,0.02094
mimic_cxr_test,meteor,qwen35-35b-a3b,qwen35-397b-a17b,3031,-0.002625,-0.001823,-0.00499,-0.000154,-0.037136,1475,1554,2,0.072961,0.291845
mimic_cxr_test,meteor,qwen35-122b-a10b,qwen35-397b-a17b,3031,0.00163,0.001538,-0.00072,0.004095,0.024242,1548,1480,3,0.182211,0.546632
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-2b,3031,-0.000921,-0.000708,-0.001323,-0.000535,-0.083654,1418,1613,0,3.7e-05,0.000186
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-4b,3031,-0.003153,-0.002929,-0.003536,-0.002779,-0.295438,1158,1873,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-9b,3031,-0.001883,-0.001595,-0.002242,-0.001543,-0.177904,1315,1716,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-27b,3031,-0.001601,-0.001269,-0.00199,-0.00122,-0.145417,1370,1661,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-35b-a3b,3031,-0.005558,-0.005105,-0.005988,-0.005171,-0.477509,950,2081,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-122b-a10b,3031,-0.004723,-0.004276,-0.005153,-0.004337,-0.404351,1047,1984,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-0_8b,qwen35-397b-a17b,3031,-0.005473,-0.005029,-0.005889,-0.005034,-0.460102,949,2082,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-2b,qwen35-4b,3031,-0.002232,-0.001864,-0.002614,-0.001896,-0.223721,1227,1804,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-2b,qwen35-9b,3031,-0.000962,-0.001175,-0.001325,-0.000601,-0.09223,1367,1664,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-2b,qwen35-27b,3031,-0.000679,-0.000465,-0.001073,-0.000307,-0.065645,1464,1566,1,0.000956,0.002869
mimic_cxr_test,bertscore,qwen35-2b,qwen35-35b-a3b,3031,-0.004636,-0.004361,-0.005048,-0.004207,-0.415543,1009,2022,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-2b,qwen35-122b-a10b,3031,-0.003802,-0.003479,-0.004217,-0.003393,-0.352549,1124,1907,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-2b,qwen35-397b-a17b,3031,-0.004551,-0.004156,-0.004958,-0.004139,-0.41033,1043,1988,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-4b,qwen35-9b,3031,0.00127,0.001049,0.000953,0.001594,0.136558,1651,1380,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-4b,qwen35-27b,3031,0.001552,0.001508,0.001234,0.001879,0.171794,1761,1270,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-4b,qwen35-35b-a3b,3031,-0.002405,-0.002166,-0.002775,-0.002037,-0.231284,1226,1805,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-4b,qwen35-122b-a10b,3031,-0.00157,-0.001194,-0.001934,-0.001202,-0.159077,1342,1689,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-4b,qwen35-397b-a17b,3031,-0.00232,-0.001884,-0.002679,-0.001921,-0.222896,1240,1791,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-9b,qwen35-27b,3031,0.000283,0.00036,-7.3e-05,0.000622,0.029557,1567,1464,0,0.01231,0.02462
mimic_cxr_test,bertscore,qwen35-9b,qwen35-35b-a3b,3031,-0.003674,-0.003393,-0.004028,-0.003312,-0.359914,1077,1954,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-9b,qwen35-122b-a10b,3031,-0.00284,-0.002203,-0.003198,-0.002498,-0.282044,1219,1812,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-9b,qwen35-397b-a17b,3031,-0.003589,-0.002937,-0.003964,-0.00322,-0.343451,1159,1872,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-27b,qwen35-35b-a3b,3031,-0.003957,-0.003818,-0.004304,-0.003595,-0.389529,1012,2019,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-27b,qwen35-122b-a10b,3031,-0.003122,-0.002707,-0.003458,-0.002794,-0.330834,1142,1889,0,0.0,0.0
mimic_cxr_test,bertscore,qwen35-27b,qwen35-397b-a17b,3031,-0.003872,-0.003383,-0.004194,-0.003527,-0.394103,1009,2022,0,0.0,0.0
